Regions=Франция,Польша,Германия,Дания,Нидерланды,Бельгия,Швеция,Норвегия,Исландия,Великобритания,Финляндия,Россия,Литва,Латвия,Эстония,Беларусь
//из Москвы	=		по Москве		=	про Москву		=	с Москвой		=	в Москве
//<LANDLOCAL_RO>	<LANDLOCAL_DA>		<LANDLOCAL_VI>		<LANDLOCAL_TV>		<LANDLOCAL_PR>

Regions_RO=Франции,Польши,Германии,Дании,Нидерландов,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,России,Литвы,Латвии,Эстонии,Беларуси
Regions_DA=Франции,Польше,Германии,Дании,Нидерландам,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,России,Литве,Латвии,Эстонии,Беларуси
Regions_VI=Францию,Польшу,Германию,Данию,Нидерланды,Бельгию,Швецию,Норвегию,Исландию,Великобританию,Финляндию,Россию,Литву,Латвию,Эстонию,Беларусь
Regions_TV=Францией,Польшей,Германией,Данией,Нидерландами,Бельгией,Швецией,Норвегией,Исландией,Великобританией,Финляндией,Россией,Литвой,Латвией,Эстонией,Беларусью
Regions_PR=Франции,Польше,Германии,Дании,Нидерландах,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,России,Литве,Латвии,Эстонии,Беларуси

Рейкьявик=Исландия,Рейкьявика,Рейкьявику,Рейкьявик,Рейкьявиком,Рейкьявике
Хёбн=Исландия,Хёбна,Хёбну,Хёбн,Хёбном,Хёбне
Лейпциг=Германия,Лейпцига,Лейпцигу,Лейпциг,Лейпцигом,Лейпциге
Гамбург=Германия,Гамбурга,Гамбургу,Гамбург,Гамбургом,Гамбурге
Кёльн=Германия,Кёльна,Кёльну,Кёльнг,Кёльном,Кёльне
Амстердам=Нидерланды,Амстердама,Амстердаму,Амстердам,Амстердамом,Амстердаме
Брюссель=Бельгия,Брюсселя,Брюсселю,Брюссель,Брюсселем,Брюсселе
Хернинг=Дания,Хернинга,Хернингу,Хернинг,Хернингом,Хернинге
Альта=Норвегия,Альты,Альте,Альту,Альтой,Альте
Аннёйа=Норвегия,Аннёйи,Аннёйе,Аннёйю,Аннёйей,Аннёйе
Нарвик=Норвегия,Нарвика,Нарвику,Нарвик,Нарвиком,Нарвике
Мушёэн=Норвегия,Мушёэна,Мушёэну,Мушёэн,Мушёэном,Мушёэне
Тронхейм=Норвегия,Тронхейма,Тронхейму,Тронхейм,Тронхеймом,Тронхейме
Берген=Норвегия,Бергена,Бергену,Берген,Бергеном,Бергене
Oсло=Норвегия,Oсло,Oсло,Oсло,Oсло,Oсло
Стокгольм=Швеция,Стокгольма,Стокгольму,Стокгольм,Стокгольмом,Стокгольме
Фалун=Швеция,Фалуна,Фалуну,Фалун,Фалуном,Фалуне
Познань=Польша,Познани,Познане,Познань,Познанью,Познани
Варшава=Польша,Варшавы,Варшаве,Варшаву,Варшавой,Варшаве
Вильнюс=Литва,Вильнюса,Вильнюсу,Вильнюс,Вильнюсом,Вильнюсе
Рига=Латвия,Риги,Риге,Ригу,Ригой,Риге
Таллин=Эстония,Таллина,Таллину,Таллин,Таллином,Таллине
Минск=Беларусь,Минска,Минску,Минск,Минском,Минске
Москва=Россия,Москвы,Москве,Москву,Москвой,Москве
Санкт-Петербург=Россия,Санкт-Петербурга,Санкт-Петербургу,Санкт-Петербург,Санкт-Петербургом,Санкт-Петербурге
Мурманск=Россия,Мурманска,Мурманску,Мурманск,Мурманском,Мурманске
Лондон=Великобритания,Лондона,Лондону,Лондон,Лондоном,Лондоне
Манчестер=Великобритания,Манчестера,Манчестеру,Манчестер,Манчестером,Манчестере
Плимут=Великобритания,Плимута,Плимуту,Плимутер,Плимутом,Плимуте
Псков=Россия,Пскова,Пскову,Псков,Псковом,Пскове
Абвиль=Франция,Абвиля,Абвилю,Абвиль,Абвилем,Абвиле
Кан=Франция,Кана,Кану,Кан,Каном,Кане
Гремиха=Россия,Гремихи,Гремихе,Гремиху,Гремихой,Гремихе
Архангельск=Россия,Архангельска,Архангельску,Архангельск,Архангельском,Архангельске
Холи-Лох=Великобритания,Холи-Лох,Холи-Лох,Холи-Лох,Холи-Лох,Холи-Лох
Торсхавн=Дания,Торсхавна,Торсхавну,Торсхавн,Торсхавном,Торсхавне
Хельсинки=Финляндия,Хельсинки,Хельсинки,Хельсинки,Хельсинки,Хельсинки
Великий Новгород=Россия,Великого Новгорода,Великому Новгороду,НВеликий Новгород,Великим Новгородом,Великом Новгороде
Смоленск=Россия,Смоленска,Смоленску,Смоленск,Смоленском,Смоленске
Тула=Россия,Тулы,Туле,Тулу,Тулой,Туле
Ярославль=Россия,Ярославля,Ярославлю,Ярославль,Ярославлем,Ярославле
Нижний Новгород=Россия,Нижнего Новгорода,Нижнему Новгороду,Нижний Новгород,Нижним Новгородом,Нижнем Новгороде
Казань=Россия,Казани,Казане,Казань,Казанью,Казани
Петрозаводск=Россия,Петрозаводска,Петрозаводску,Петрозаводск,Петрозаводском,Петрозаводске
Кемь=Россия,Кеми,Кеме,Кемь,Кемью,Кеми
Оулу=Финляндия,Оулу,Оулу,Оулу,Оулу,Оулу
Шпицберген=Норвегия,Шпицбергена,Шпицбергену,Шпицберген,Шпицбергеном,Шпицбергене
