Regions=Франция,Польша,ФРГ,ГДР,Дания,Нидерланды,Бельгия,Швеция,Норвегия,Исландия,Великобритания,Финляндия,СССР
//из Москвы	=		по Москве		=	про Москву		=	с Москвой		=	в Москве
//<LANDLOCAL_RO>	<LANDLOCAL_DA>		<LANDLOCAL_VI>		<LANDLOCAL_TV>		<LANDLOCAL_PR>

Regions_RO=Франции,Польши,ФРГ,ГДР,Дании,Нидерландов,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,СССР
Regions_DA=Франции,Польше,ФРГ,ГДР,Дании,Нидерландам,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,СССР
Regions_VI=Францию,Польшу,ФРГ,ГДР,Данию,Нидерланды,Бельгию,Швецию,Норвегию,Исландию,Великобританию,Финляндию,СССР
Regions_TV=Францией,Польшей,ФРГ,ГДР,Данией,Нидерландами,Бельгией,Швецией,Норвегией,Исландией,Великобританией,Финляндией,СССР
Regions_PR=Франции,Польше,ФРГ,ГДР,Дании,Нидерландах,Бельгии,Швеции,Норвегии,Исландии,Великобритании,Финляндии,СССР

Рейкьявик=Исландия,Рейкьявика,Рейкьявику,Рейкьявик,Рейкьявиком,Рейкьявике
Хёбн=Исландия,Хёбна,Хёбну,Хёбн,Хёбном,Хёбне
Лейпциг=ГДР,Лейпцига,Лейпцигу,Лейпциг,Лейпцигом,Лейпциге
Гамбург=ФРГ,Гамбурга,Гамбургу,Гамбург,Гамбургом,Гамбурге
Кёльн=ФРГ,Кёльна,Кёльну,Кёльн,Кёльном,Кёльне
Амстердам=Нидерланды,Амстердама,Амстердаму,Амстердам,Амстердамом,Амстердаме
Брюссель=Бельгия,Брюсселя,Брюсселю,Брюссель,Брюсселем,Брюсселе
Хернинг=Дания,Хернинга,Хернингу,Хернинг,Хернингом,Хернинге
Альта=Норвегия,Альты,Альте,Альту,Альтой,Альте
Аннёйа=Норвегия,Аннёйи,Аннёйе,Аннёйю,Аннёйей,Аннёйе
Нарвик=Норвегия,Нарвика,Нарвику,Нарвик,Нарвиком,Нарвике
Мушёэн=Норвегия,Мушёэна,Мушёэну,Мушёэн,Мушёэном,Мушёэне
Тронхейм=Норвегия,Тронхейма,Тронхейму,Тронхейм,Тронхеймом,Тронхейме
Берген=Норвегия,Бергена,Бергену,Берген,Бергеном,Бергене
Oсло=Норвегия,Oсло,Oсло,Oсло,Oсло,Oсло
Стокгольм=Швеция,Стокгольма,Стокгольму,Стокгольм,Стокгольмом,Стокгольме
Фалун=Швеция,Фалуна,Фалуну,Фалун,Фалуном,Фалуне
Познань=Польша,Познани,Познане,Познань,Познанью,Познани
Варшава=Польша,Варшавы,Варшаве,Варшаву,Варшавой,Варшаве
Вильнюс=СССР,Вильнюса,Вильнюсу,Вильнюс,Вильнюсом,Вильнюсе
Рига=СССР,Риги,Риге,Ригу,Ригой,Риге
Таллин=СССР,Таллина,Таллину,Таллин,Таллином,Таллине
Минск=СССР,Минска,Минску,Минск,Минском,Минске
Москва=СССР,Москвы,Москве,Москву,Москвой,Москве
Ленинград=СССР,Ленинграда,Ленинграду,Ленинград,Ленинградом,Ленинграде
Мурманск=СССР,Мурманска,Мурманску,Мурманск,Мурманском,Мурманске
Лондон=Великобритания,Лондона,Лондону,Лондон,Лондоном,Лондоне
Манчестер=Великобритания,Манчестера,Манчестеру,Манчестер,Манчестером,Манчестере
Плимут=Великобритания,Плимута,Плимуту,Плимутер,Плимутом,Плимуте
Псков=СССР,Пскова,Пскову,Псков,Псковом,Пскове
Абвиль=Франция,Абвиля,Абвилю,Абвиль,Абвилем,Абвиле
Кан=Франция,Кана,Кану,Кан,Каном,Кане
Гремиха=СССР,Гремихи,Гремихе,Гремиху,Гремихой,Гремихе
Архангельск=СССР,Архангельска,Архангельску,Архангельск,Архангельском,Архангельске
Холи-Лох=Великобритания,Холи-Лох,Холи-Лох,Холи-Лох,Холи-Лох,Холи-Лох
Торсхавн=Дания,Торсхавна,Торсхавну,Торсхавн,Торсхавном,Торсхавне
Хельсинки=Финляндия,Хельсинки,Хельсинки,Хельсинки,Хельсинки,Хельсинки
Великий Новгород=СССР,Великого Новгорода,Великому Новгороду,НВеликий Новгород,Великим Новгородом,Великом Новгороде
Смоленск=СССР,Смоленска,Смоленску,Смоленск,Смоленском,Смоленске
Тула=СССР,Тулы,Туле,Тулу,Тулой,Туле
Ярославль=СССР,Ярославля,Ярославлю,Ярославль,Ярославлем,Ярославле
Нижний Новгород=СССР,Нижнего Новгорода,Нижнему Новгороду,Нижний Новгород,Нижним Новгородом,Нижнем Новгороде
Казань=СССР,Казани,Казане,Казань,Казанью,Казани
Петрозаводск=СССР,Петрозаводска,Петрозаводску,Петрозаводск,Петрозаводском,Петрозаводске
Кемь=СССР,Кеми,Кеме,Кемь,Кемью,Кеми
Оулу=Финляндия,Оулу,Оулу,Оулу,Оулу,Оулу
Шпицберген=Норвегия,Шпицбергена,Шпицбергену,Шпицберген,Шпицбергеном,Шпицбергене
