Regions=Тайвань,Филиппины,Китай,Южно-Китайское море,Бангладеш,Мьянма,Тайланд,Камбоджа,Вьетнам,Северная Корея,Южная Корея,Япония

Regions_RO=Тайваня,Филиппин,Китая,Южно-Китайского моря,Бангладеша,Мьянмы,Тайланда,Камбоджии,Вьетнама,Северной Кореи,Южной Кореи,Японии
Regions_DA=Тайваню,Филиппинам,Китаю,Южно-Китайскому морю,Бангладешу,Мьянме,Тайланду,Камбоджии,Вьетнаму,Северной Корее,Южной Корее,Японии
Regions_VI=Тайвань,район Филиппин,Китай,Южно-Китайское море,Бангладеш,Мьянму,Тайланд,Камбоджию,страну Вьетнам,Северную Корею,Южную Корею,Японию
Regions_TV=Тайванем,Филиппинами,Китаем,Южно-Китайским морем,Бангладешем,Мьянмой,Тайландом,Камбоджией,Вьетнамом,Северной Кореей,Южной Кореей,Японией
Regions_PR=Тайване,районе Филиппин,Китае,Южно-Китайском море,Бангладеше,Мьянме,Тайланде,Камбоджии,стране Вьетнам,Северной Корее,Южной Корее,Японии

Тайбэй=Тайвань,Тайбэя,Тайбэю,Тайбэй,Тайбэем,Тайбэе
Гаосюн=Тайвань,Гаосюна,Гаосюну,Гаосюн,Гаосюном,Гаосюне
Лаоаг=Филиппины,Лаоага,Лаоагу,Лаоаг,Лаоагом,Лаоаге
Манила=Филиппины,Манилы,Маниле,Манилу,Манилой,Маниле
Баколод=Филиппины,Баколода,Баколоду,Баколод,Баколодом,Баколоде
Гонконг=Китай,Гонконга,Гонконгу,Гонконг,Гонконгом,Гонконге
Парасельские острова=Южно-Китайское море,Парасельских островов,Парасельским островам,Парасельские острова,Парасельскими островами,Парасельских островах
Отмель Скарборо=Южно-Китайское море,Отмели Скарборо,Отмели Скарборо,Отмель Скарборо,Отмелью Скарборо,районе Отмели Скарборо
Северные острова Спратли=Южно-Китайское море,северных островов Спратли,северным островам Спратли,северные острова Спратли,северными островами Спратли,районе северных островов Спратли
Центральные острова Спратли=Южно-Китайское море,центральных островов Спратли,центральным островам Спратли,центральные острова Спратли,центральными островами Спратли,районе центральных островов Спратли
Южные острова Спратли=Южно-Китайское море,южных островов Спратли,южным островам Спратли,южные острова Спратли,южными островами Спратли,районе южных островов Спратли
Читагонг=Бангладеш,Читагонга,Читагонгу,Читагонг,Читагонгом,Читагонге
Ситуэ=Мьянма,Ситуэ,Ситуэ,Ситуэ,Ситуэ,Ситуэ
Мьичина=Мьянма,Мьичины,Мьичине,Мьичину,Мьичиной,Мьичине
Мандалай=Мьянма,Мандалая,Мандалаю,Мандалай,Мандалаем,Мандалае
Янгон=Мьянма,Янгона,Янгону,Янгон,Янгоном,Янгоне
Мьей=Мьянма,Мьейи,Мьейе,Мьейю,Мьейей,Мьейи
Сураттхани=Тайланд,Сураттхани,Сураттхани,Сураттхани,Сураттхани,Сураттхани
Бангкок=Тайланд,Бангкока,Бангкоку,Бангкок,Бангкоком,Бангкоке
Сиануквиль=Камбоджа,Сиануквиля,Сиануквилю,Сиануквиль,Сиануквилем,Сиануквиле
Камрань=Вьетнам,Камрани,Камрани,Камрань,Камранью,Камрани
Дананг=Вьетнам,Дананга,Данангу,Дананг,Данангом,Дананге
Винь=Вьетнам,Виня,Виню,Винь,Винем,Вине
Хайфон=Вьетнам,Хайфона,Хайфону,Хайфон,Хайфоном,Хайфоне
Куньмин=Китай,Куньмина,Куньмину,Куньмин,Куньмином,Куньмине
Чэнду=Китай,Чэнду,Чэнду,Чэнду,Чэнду,Чэнду
Ханьчжун=Китай,Ханьчжуна,Ханьчжуну,Ханьчжун,Ханьчжуном,Ханьчжуне
Лючжоу=Китай,Лючжоу,Лючжоу,Лючжоу,Лючжоуом,Лючжоу
Юйлинь=Китай,Юйлиня,Юйлиню,Юйлинь,Юйлинем,Юйлине
Чжаньцзян=Китай,Чжаньцзяна,Чжаньцзяну,Чжаньцзян,Чжаньцзяном,Чжаньцзяне
Гуанчжоу=Китай,Гуанчжоу,Гуанчжоу,Гуанчжоу,Гуанчжоуом,Гуанчжоу
Хэнъян=Китай,Хэнъяна,Хэнъяну,Хэнъян,Хэнъяном,Хэнъяне
Хунань=Китай,Хунани,Хунане,Хунань,Хунанью,Хунани
Чжэнчжоу=Китай,Чжэнчжоу,Чжэнчжоу,Чжэнчжоу,Чжэнчжоуом,Чжэнчжоу
Ухань=Китай,Уханя,Ухане,Ухань,Уханем,Ухане
Ляочэн=Китай,Ляочэна,Ляочэну,Ляочэн,Ляочэном,Ляочэне
Хэфэй=Китай,Хэфэя,Хэфэю,Хэфэй,Хэфэем,Хэфэе
Цзюцзян=Китай,Цзюцзяна,Цзюцзяну,Цзюцзян,Цзюцзяном,Цзюцзяне
Цзиань=Китай,Цзианя,Цзианю,Цзиань,Цзианес,Цзиане
Шаньтоу=Китай,Шаньтоу,Шаньтоу,Шаньтоу,Шаньтоуом,Шаньтоу
Сямэнь=Китай,Сямэни,Сямэне,Сямэнь,Сямэнью,Сямэни
Вэньчжоу=Китай,Вэньчжоу,Вэньчжоу,Вэньчжоу,Вэньчжоуом,Вэньчжоу
Нинбо=Китай,Нинбо,Нинбо,Нинбо,Нинбо,Нинбо
Шанхай=Китай,Шанхая,Шанхаю,Шанхай,Шанхаем,Шанхае
Тайчжоу=Китай,Тайчжоу,Тайчжоу,Тайчжоу,Тайчжоуом,Тайчжоу
Циндао=Китай,Циндао,Циндао,Циндао,Циндао,Циндао
Яньтай=Китай,Яньтая,Яньтаю,Яньтай,Яньтаем,Яньтае
Биньчжоу=Китай,Биньчжоу,Биньчжоу,Биньчжоу,Биньчжоуом,Биньчжоу
Пекин=Китай,Пекина,Пекину,Пекин,Пекином,Пекине
Далянь=Китай,Даляня,Даляню,Далянь,Далянем,Даляне
Синпхо=Северная Корея,Синпхо,Синпхо,Синпхо,Синпхо,Синпхо
Пхеньян=Северная Корея,Пхеньяна,Пхеньяну,Пхеньян,Пхеньяном,Пхеньяне
Сеул=Южная Корея,Сеула,Сеулу,Сеул,Сеулом,Сеуле
Пусан=Южная Корея,Пусана,Пусану,Пусан,Пусаном,Пусане
Кагаян-де-Оро=Филиппины,Кагаян-де-Ора,Кагаян-де-Ору,Кагаян-де-Оро,Кагаян-де-Ором,Кагаян-де-Оре
Катбалоган=Филиппины,Катбалогана,Катбалогану,Катбалоган,Катбалоганом,Катбалогане
Пуэрто-Принсеса=Филиппины,Пуэрто-Принсесы,Пуэрто-Принсесе,Пуэрто-Принсесу,Пуэрто-Принсесой,Пуэрто-Принсесе
Окинава=Япония,Окинавы,Окинаве,Окинаву,Окинавой,Окинаве
Нагасаки=Япония,Нагасаки,Нагасаки,Нагасаки,Нагасаки,Нагасаки
Идзумо=Япония,Идзумо,Идзумо,Идзумо,Идзумо,Идзумо
Коти=Япония,Коти,Коти,Коти,Коти,Коти
Такахама=Япония,Такахамы,Такахаме,Такахаму,Такахамой,Такахаме
Токио=Япония,Токио,Токио,Токио,Токио,Токио
Дзеэцу=Япония,Дзеэцы,Дзеэце,Дзеэцу,Дзеэцей,Дзеэце
Сендай=Япония,Сендая,Сендаю,Сендай,Сендаем,Сендае
Аомори=Япония,Аомори,Аомори,Аомори,Аомори,Аомори
