// <FRIENDLY>
ENEMY=Силы Альянса|Войска НАТО|Силы НАТО|Войска Альянса|Прозападные силы|Американцы
// <ENEMY>
FRIENDLY=Китайские войска|Силы НОАК|ВС КНР|Войска Китая|Вооруженные силы КНР|ВС Китая|Силы НОАК|Китайцы

//RO
// <FRIENDLY_SINGULAR>
ENEMY_SINGULAR=сил Альянса|войск НАТО|сил НАТО|войск Альянса|Прозападных сил|американцев
// <ENEMY_SINGULAR>
FRIENDLY_SINGULAR=китайских войск|сил НОАК|войск Китая|вооруженных сил КНР|сил Китая|китайцев

//DA
// <FRIENDLY_PREFIX>
ENEMY_PREFIX=силам Альянса|войскам НАТО|силам НАТО|войскам Альянса|Прозападным силам|американцам
// <ENEMY_PREFIX>
FRIENDLY_PREFIX=китайским войскам|силам НОАК|войскам Китая|вооруженным силам КНР|силам Китая|китайцам

//TV
// <FRIENDLY_SUFFIX>
ENEMY_SUFFIX=силами Альянса|войсками НАТО|силами НАТО|войсками Альянса|Прозападными силами|американцами
// <ENEMY_SUFFIX>
FRIENDLY_SUFFIX=китайскими войсками|силами НОАК|войсками Китая|вооруженными силами КНР|силами Китая|китайцами




// <FRIENDLY_NAVY>
ENEMY_NAVY=ВМС НАТО|Соединения ВМС Альянса|ВМС Альянса|ВМС Северо-атлантического Альянса|Силы флота НАТО|Американские моряки
// <ENEMY_NAVY>
FRIENDLY_NAVY=Силы китайского ВМФ|Соединения ВМФ КНР|ВМФ Китая|ВМФ НОАК|Силы флота КНР|Китайские моряки

//RO
// <FRIENDLY_NAVY_SINGULAR>
ENEMY_NAVY_SINGULAR=ВМС НАТО|соединений ВМС Альянса|ВМС Альянса|ВМС Северо-атлантического Альянса|сил флота НАТО|американских моряков
// <ENEMY_NAVY_SINGULAR>
FRIENDLY_NAVY_SINGULAR=сил китайского ВМФ|соединений ВМФ КНР|ВМФ Китая|ВМФ НОАК|сил флота КНР|китайских моряков

//DA
// <FRIENDLY_NAVY_PREFIX>
ENEMY_NAVY_PREFIX=ВМС НАТО|соединениям ВМС Альянса|ВМС Альянса|ВМС Северо-атлантического Альянса|силам флота НАТО|американским морякам
// <ENEMY_NAVY_PREFIX>
FRIENDLY_NAVY_PREFIX=силам китайского ВМФ|соединениям ВМФ КНР|ВМФ Китая|ВМФ НОАК|силам флота КНР|китайским морякам

//TV
// <FRIENDLY_NAVY_SUFFIX>
ENEMY_NAVY_SUFFIX=ВМС НАТО|соединениями ВМС Альянса|ВМС Альянса|ВМС Северо-атлантического Альянса|силами флота НАТО|американскими моряками
// <ENEMY_NAVY_SUFFIX>
FRIENDLY_NAVY_SUFFIX=силами китайского ВМФ|соединениями ВМФ КНР|ВМФ Китая|ВМФ НОАК|силами флота КНР|китайскими моряками
