Regions=США,Африка,Россия,Северная Корея,Китай,Вьетнам,Индия,Иран,Ирак,Сирия,Южная Корея,Япония,Филиппины,Австралия,Мьянма,Афганистан,Туркменистан,Израиль,Ливия,Саудовская Аравия,Сомали,Франция,Испания,Марокко,Великобритания,Исландия,Норвегия,Финляндия,в Прибалтике,Польша,Германия,Болгария,Турция,Грузия,Украина,Беларусь,Канада,Куба,Казахстан,Мексика,Французская Гвиана,Аргентина,Италия,Румыния,Австрия

Regions_RO=США,Африки,России,Северной Кореи,Китая,Вьетнама,Индии,Ирана,Ирака,Сирии,Южной Кореи,Японии,Филиппин,Австралии,Мьянмы,Афганистана,Туркменистана,Израиля,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польши,Германии,Болгарии,Турции,Грузии,Украины,Беларуси,Канады,Кубы,Казахстана,Мексики,Французской Гвианы,Аргентины,Италии,Румынии,Австрии

Regions_DA=США,Африке,России,Северной Корее,Китаю,Вьетнаму,Индии,Ирану,Ираку,Сирии,Южной Корее,Японии,Филиппинам,Австралии,Мьянме,Афганистану,Туркменистану,Израилю,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польше,Германии,Болгарии,Турции,Грузии,Украине,Беларуси,Канаде,Кубе,Казахстану,Мексике,Французской Гвиане,Аргентине,Италии,Румынии,Австрии

Regions_VI=США,Африку,Россию,Северную Корею,Китай,страну Вьетнам,Индию,Иран,Ирак,Сирию,Южную Корею,Японию,районы Филиппин,Австралию,Мьянму,Афганистан,Туркменистан,Израиль,Ливию,Саудовскую Аравию,Сомали,страну Франция,Испанию,Марокко,Великобританию,Исландию,Норвегию,Финляндию,районы  Прибалтики,Польшу,Германию,Болгарию,Турцию,Грузию,Украину,Беларусь,Канаду,районы Кубы,Казахстан,Мексику,районы Французской Гвианы,Аргентину,Италию,Румынию,Австрию

Regions_TV=США,Африкой,Россией,Северной Кореей,Китаем,Вьетнамом,Индией,Ираном,Ираком,Сирией,Южной Кореей,Японией,Филиппинами,Австралией,Мьянмой,Афганистаном,Туркменистаном,Израилем,Ливией,Саудовской Аравией,Сомали,Францией,Испанией,Марокко,Великобританией,Исландией,Норвегией,Финляндией,в Прибалтике,Польшей,Германией,Болгарией,Турцией,Грузией,Украиной,Беларусью,Канадой,Кубой,Казахстаном,Мексикой,Французской Гвианой,Аргентиной,Италией,Румынией,Австрией

Regions_PR=США,Африке,России,Северной Корее,Китае,Вьетнаме,Индии,Иране,Ираке,Сирии,Южной Корее,Японии,Филиппинах,Австралии,Мьянме,Афганистане,Туркменистане,Израиле,Ливии,Саудовской Аравии,Сомали,Франции,Испании,Марокко,Великобритании,Исландии,Норвегии,Финляндии,в Прибалтике,Польше,Германии,Болгарии,Турции,Грузии,Украине,Беларуси,Канаде,Кубе,Казахстане,Мексике,Французской Гвиане,Аргентине,Италии,Румынии,Австрии

Вашингтон=США,Вашингтона,Вашингтону,Вашингтон,Вашингтоном,Вашингтоне
Лос-Анджелес=США,Лос-Анджелеса,Лос-Анджелесу,Лос-Анджелес,Лос-Анджелесом,Лос-Анджелесе
Париж=Франция,Парижа,Парижу,Париж,Парижем,Париже
Мадрид=Испания,Мадрида,Мадриду,Мадрид,Мадридом,Мадриде
Рабат=Марокко,Рабата,Рабату,Рабат,Рабатом,Рабате
Лондон=Великобритания,Лондона,Лондону,Лондон,Лондоном,Лондоне
Рейкьявик=Исландия,Рейкьявика,Рейкьявику,Рейкьявик,Рейкьявиком,Рейкьявике
Тунис=Африка,Туниса,Тунису,Тунис,Тунисом,Тунисе
Осло=Норвегия,Осло,Осло,Осло,Осло,Осло
Альта=Норвегия,Альты,Альту,Альта,Альтой,Альте
Хельсинки=Финляндия,Хельсинки,Хельсинки,Хельсинки,Хельсинки,Хельсинки
Рига-Талин-Вильнюс=в Прибалтике,Риги-Талина-Вильнюса,Ригу-Талин-Вильнюс,Ригу-Талин-Вильнюс,Ригой-Талином-Вильнюсом,Риге-Талине-Вильнюсе
Варшава=Польша,Варшавы,Варшаву,Варшава,Варшавой,Варшаве
Берлин=Германия,Берлина,Берлину,Берлин,Берлином,Берлине
София=Болгария,Софии,Софии,Софию,Софией,Софии
Анкара=Турция,Анкары,Анкаре,Анкару,Анкарой,Анкаре
Тбилиси=Грузия,Тбилиси,Тбилиси,Тбилиси,Тбилиси,Тбилиси
Киев=Украина,Киева,Киеву,Киев,Киевом,Киеве
Минск=Беларусь,Минска,Минску,Минск,Минском,Минске
Краснодар=Россия,Краснодара,Краснодару,Краснодар,Краснодаром,Краснодаре
Казань=Россия,Казани,Казани,Казань,Казанью,Казани
Киров=Россия,Кирова,Кирову,Киров,Кировом,Кирове
Ярославль=Россия,Ярославля,Ярославлю,Ярославль,Ярославлем,Ярославле
Воркута=Россия,Воркуты,Воркуте,Воркуту,Воркутой,Воркуте
Мурманск=Россия,Мурманска,Мурманску,Мурманск,Мурманском,Мурманске
Москва=Россия,Москвы,Москве,Москву,Москвой,Москве
Эдмонтон=Канада,Эдмонтона,Эдмонтону,Эдмонтон,Эдмонтоном,Эдмонтоне
Гавана=Куба,Гаваны,Гаване,Гавану,Гаваной,Гаване
Перл-Харбор=США,Перл-Харбора,Перл-Харбору,Перл-Харбор,Перл-Харбором,Перл-Харборе
Атырау=Казахстан,Атырау,Атырау,Атырау,Атырау,Атырау
Оттава=Канада,Оттавы,Оттаве,Оттаву,Оттавой,Оттаве
Аляска=США,Аляски,Аляске,Аляску,Аляской,Аляске
Астана=Казахстан,Астаны,Астане,Астану,Астаной,Астане
Балхаш=Казахстан,Балхаша,Балхаше,Балхаш,Балхашом,Балхаше
Мехико=Мексика,Мехико,Мехико,Мехико,Мехико,Мехико
Хьюстон=США,Хьюстона,Хьюстону,Хьюстон,Хьюстоном,Хьюстоне
Кайенна=Французская Гвиана,Кайенны,Кайенне,Кайенну,Кайенной,Кайенне
Новосибирск=Россия,Новосибирска,Новосибирску,Новосибирск,Новосибирском,Новосибирске
Сургут=Россия,Сургута,Сургуту,Сургут,Сургутом,Сургуте
Красноярск=Россия,Красноярска,Красноярску,Красноярск,Красноярском,Красноярске
Иркутск=Россия,Иркутска,Иркутску,Иркутск,Иркутском,Иркутске
Усть-Илимск=Россия,Усть-Илимска,Усть-Илимску,Усть-Илимск,Усть-Илимском,Усть-Илимске
Норильск=Россия,Норильска,Норильску,Норильск,Норильском,Норильске
Чита=Россия,Читы,Чите,Читу,Читой,Чите
